# Units
# dimensionless	code_time	dimensionless	1/code_time	1/code_time	1/code_time
3.600000000000000000e+01	2.555396439559895683e+01	1.785022900424283188e-01	2.292010894214033852e-10	7.193913016947142875e-08	2.341059587364245330e-11
3.700000000000000000e+01	2.738951139953598357e+01	1.913241496416264176e-01	3.149181035823790243e-10	4.383735445472496358e-08	3.224723458573868724e-11
3.800000000000000000e+01	2.933573340105809990e+01	2.049191080920846342e-01	4.830428100260545609e-10	2.618917146853084056e-08	4.149859223504360403e-11
3.900000000000000000e+01	3.133833262702047762e+01	2.189078787711673524e-01	7.816342681888326432e-10	1.577655152656020754e-08	5.639853265483288504e-11
4.000000000000000000e+01	3.342939481819278313e+01	2.335145904330838684e-01	1.191063780954667038e-09	9.797621297010907919e-09	7.699434326227523299e-11
4.100000000000000000e+01	3.560486200926446543e+01	2.487108969437614725e-01	1.639376206395516692e-09	6.539281426240684710e-09	1.010867451962808328e-10
4.200000000000000000e+01	3.786958379061234581e+01	2.645306741815034446e-01	2.462957986288022744e-09	4.712576648432391453e-09	1.307003224097917283e-10
4.300000000000000000e+01	4.022525708116236842e+01	2.809857756462053602e-01	3.853646562844463820e-09	3.714038243081153633e-09	1.700503300347960699e-10
4.400000000000000000e+01	4.267332270827766649e+01	2.980862659595397979e-01	5.685244436419771678e-09	3.146399891663426233e-09	2.178649870517456541e-10
4.500000000000000000e+01	4.521605714453532698e+01	3.158480469816620229e-01	8.265390540698409745e-09	2.806577824550152889e-09	2.782408720397499571e-10
4.600000000000000000e+01	4.785455382981571404e+01	3.342787567259793979e-01	1.210511054385243789e-08	2.601676488706196808e-09	3.549627074840328264e-10
4.700000000000000000e+01	5.066168630376022719e+01	3.538874392495357513e-01	1.733029312819455652e-08	2.508802003418170933e-09	4.553069244596187302e-10
4.800000000000000000e+01	5.350036700480218599e+01	3.737164958292070183e-01	2.529708571381897261e-08	2.658659940772283675e-09	5.951115256276826355e-10
